TailNum,sum(Distance)
N215AA,1753
N639AW,1750
N337NW,1750
N412WN,1750
N654DL,1747
N712TW,1747
N18622,1746
N622DL,1745
N402UA,1745
N411UA,1745
N160AA,1745
N1815U,1745
N505UA,1745
N597A1,1745
N523UA,1745
N563UA,1739
N519AT,1733
N502AA,1731
N576US,1730
N899AA,1727
N5DBAA,1726
N317UA,1723
N533UA,1723
N202AA,1723
N4XKAA,1723
N7258U,1722
N4WRAA,1721
N4XNAA,1721
N927TW,1710
N714P,1710
N96301,1708
N14991,1706
N502,1701
N558AA,1696
N14320,1694
N309AW,1692
N737UW,1680
-N670D,1678
N817AW,1671
N400,1670
N934AT,1664
N762NC,1662
N287A1,1660
N567AA,1660
N589AA,1660
N621AA,1660
N523US,1659
N2BKAA,1648
N514UA,1646
N388SW,1640
N350NB,1639
N57837,1635
N16806,1635
N14831,1628
N712,1624
N259AA,1618
N648SW,1612
N202US,1611
N702AA,1608
N894AA,1608
N5CBAA,1608
N35407,1608
N37267,1608
N7277U,1605
N515UA,1605
N808UA,1605
N16607,1605
N927UW,1605
N449AA,1604
N9346,1598
N409UA,1597
N336AA,1597
N064AA,1597
N721TW,1593
N908EV,1591
N336NB,1591
N626DL,1589
N784DA,1589
N618DL,1589
N381DA,1589
N619DL,1589
N764,1588
N609DL,1587
N680DA,1587
N915DE,1587
N913DE,1582
N772AS,1580
N545AA,1579
N665WN,1574
N9413T,1574
N912TW,1570
N901DL,1569
N450AA,1568
N781AU,1565
N964N,1563
N12327,1557
N108UW,1557
N592UA,1557
N223AA,1556
N605SW,1551
N9302B,1547
N657DL,1547
N671DN,1547
N662DN,1547
N7295U,1545
N940FR,1545
N395,1538
N9332,1537
N532US,1536
N342NW,1536
N506US,1536
N513US,1536
N584NW,1536
N492AA,1535
N655AW,1532
N516US,1532
N352NW,1522
N375NC,1522
N309NB,1522
N254WN,1521
N927WN,1521
N311RC,1518
N303US,1518
N503UA,1515
N493UA,1515
N390UA,1514
N948DL,1509
N942UA,1509
N113DA,1501
N322US,1501
N3CPAA,1501
N932UA,1498
N783,1497
N326NB,1494
N7454U,1491
N952UA,1491
N532UA,1491
N910FR,1491
N39340,1489
N680,1486
N577US,1486
N371NB,1481
N849AE,1479
N418DA,1479
N840AS,1477
N808AE,1476
N84355,1475
N13958,1475
N20,1474
N971VJ,1471
N266A1,1471
N3DLAA,1471
N507,1465
N240AU,1464
N534AA,1464
N518AU,1460
N773AS,1459
N548AA,1456
N255AA,1456
N902DE,1455
N889AS,1454
N671UA,1452
N796AS,1449
N392DA,1449
N309AS,1449
N556AS,1449
N415WN,1444
N292AA,1443
N1817U,1440
N7280U,1440
N626AA,1440
N494UA,1440
N662AW,1440
N901EV,1439
N617AA,1438
N7444U,1437
N518AA,1437
N4XEAA,1431
N312US,1426
N486AA,1422
N546DA,1421
N316NB,1419
N73385,1416
N334NW,1416
N615,1405
N72829,1400
N70755,1400
N78004,1400
N75854,1400
N19130,1400
N775AS,1399
N156US,1399
N512US,1399
N956AT,1394
N688SW,1393
N14347,1391
N355US,1391
N458AA,1391
N482,1390
N469AA,1389
N517AA,1389
N419AA,1389
N643AA,1389
N541A1,1389
N412AA,1389
N924L,1384
N342,1382
N741SA,1382
N570JB,1381
N14704,1379
N35260,1379
N18119,1379
N655CA,1374
N3CTAA,1374
N610AA,1372
N5TNAA,1372
N597AA,1372
N246AA,1372
N19638,1372
N16642,1372
N16618,1372
N4XWAA,1372
N521AE,1371
N996DL,1367
N12924,1366
N753,1363
N382SW,1363
N699SW,1363
N730EV,1360
N820US,1355
N122DL,1349
N8923E,1347
N33608,1347
N15710,1347
N23721,1347
N331,1345
N81,1344
N823AE,1343
N934SW,1343
N818UA,1339
N958AT,1336
N14629,1334
N18223,1334
N17321,1334
N2CCAA,1331
N521JB,1329
N821UA,1322
N327UA,1316
N426SW,1315
N742AS,1312
N204US,1310
N991DL,1304
N298AA,1302
N729AA,1302
N802MD,1302
N314RC,1298
N908UA,1296
N541AA,1293
N302DL,1290
N921DL,1289
N912UA,1283
N14840,1282
N922DL,1282
N630AU,1281
N949UA,1277
N509DC,1276
N594NW,1276
N333UA,1274
N501MQ,1272
N931DL,1262
N806US,1262
N4TFAA,1262
N316AW,1262
N491AA,1258
N5EVAA,1258
N975DL,1255
N311,1250
N523SW,1249
-N915D,1249
N816SK,1249
N810SK,1249
N711PH,1246
N444WN,1246
N917DE,1242
N478AA,1242
N537AA,1241
N12122,1241
N306DL,1237
N546A1,1237
N536AA,1237
N603JB,1237
N407AA,1235
N5EKAA,1235
N29124,1235
N387DA,1235
N519AA,1235
N551AA,1235
N4YMAA,1235
N14667,1235
N369UA,1232
N387,1230
N75993,1226
N380DL,1224
N929UA,1223
N16815,1222
N15781,1222
